################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 0 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
       0  0.000000   0.000000   -0.766516   
       1  0.000000   0.010000   -0.805900   
       2  0.000000   0.020000   -0.841704   
       3  0.000000   0.030000   -0.873479   
       4  0.000000   0.040000   -0.900919   
       5  0.000000   0.050000   -0.923879   
       6  0.000000   0.060000   -0.942393   
       7  0.000000   0.070000   -0.956679   
       8  0.000000   0.080000   -0.967135   
       9  0.000000   0.090000   -0.974334   
      10  0.000000   0.100000   -0.978997   
      11  0.000000   0.110000   -0.981970   
      12  0.000000   0.120000   -0.984192   
      13  0.000000   0.130000   -0.986651   
      14  0.000000   0.140000   -0.990350   
      15  0.000000   0.150000   -0.996261   
      16  0.000000   0.160000   -1.005288   
      17  0.000000   0.170000   -1.018228   
      18  0.000000   0.180000   -1.035742   
      19  0.000000   0.190000   -1.058333   
      20  0.000000   0.200000   -1.086325   
      21  0.000000   0.210000   -1.119859   
      22  0.000000   0.220000   -1.158891   
      23  0.000000   0.230000   -1.203200   
      24  0.000000   0.240000   -1.252403   
      25  0.000000   0.250000   -1.305977   
      26  0.000000   0.260000   -1.363287   
      27  0.000000   0.270000   -1.423610   
      28  0.000000   0.280000   -1.486169   
      29  0.000000   0.290000   -1.550165   
      30  0.000000   0.300000   -1.614806   
      31  0.000000   0.310000   -1.679332   
      32  0.000000   0.320000   -1.743043   
      33  0.000000   0.330000   -1.805317   
      34  0.000000   0.340000   -1.865623   
      35  0.000000   0.350000   -1.923530   
      36  0.000000   0.360000   -1.978714   
      37  0.000000   0.370000   -2.030954   
      38  0.000000   0.380000   -2.080123   
      39  0.000000   0.390000   -2.126184   
      40  0.000000   0.400000   -2.169168   
      41  0.000000   0.410000   -2.209164   
      42  0.000000   0.420000   -2.246296   
      43  0.000000   0.430000   -2.280707   
      44  0.000000   0.440000   -2.312541   
      45  0.000000   0.450000   -2.341923   
      46  0.000000   0.460000   -2.368947   
      47  0.000000   0.470000   -2.393662   
      48  0.000000   0.480000   -2.416066   
      49  0.000000   0.490000   -2.436099   
      50  0.000000   0.500000   -2.453641   
      51  0.000000   0.510000   -2.468516   
      52  0.000000   0.520000   -2.480494   
      53  0.000000   0.530000   -2.489302   
      54  0.000000   0.540000   -2.494631   
      55  0.000000   0.550000   -2.496149   
      56  0.000000   0.560000   -2.493513   
      57  0.000000   0.570000   -2.486382   
      58  0.000000   0.580000   -2.474431   
      59  0.000000   0.590000   -2.457359   
      60  0.000000   0.600000   -2.434908   
      61  0.000000   0.610000   -2.406867   
      62  0.000000   0.620000   -2.373086   
      63  0.000000   0.630000   -2.333481   
      64  0.000000   0.640000   -2.288043   
      65  0.000000   0.650000   -2.236845   
      66  0.000000   0.660000   -2.180040   
      67  0.000000   0.670000   -2.117872   
      68  0.000000   0.680000   -2.050668   
      69  0.000000   0.690000   -1.978841   
      70  0.000000   0.700000   -1.902885   
      71  0.000000   0.710000   -1.823369   
      72  0.000000   0.720000   -1.740926   
      73  0.000000   0.730000   -1.656245   
      74  0.000000   0.740000   -1.570056   
      75  0.000000   0.750000   -1.483111   
      76  0.000000   0.760000   -1.396169   
      77  0.000000   0.770000   -1.309980   
      78  0.000000   0.780000   -1.225258   
      79  0.000000   0.790000   -1.142668   
      80  0.000000   0.800000   -1.062807   
      81  0.000000   0.810000   -0.986187   
      82  0.000000   0.820000   -0.913226   
      83  0.000000   0.830000   -0.844234   
      84  0.000000   0.840000   -0.779414   
      85  0.000000   0.850000   -0.718858   
      86  0.000000   0.860000   -0.662556   
      87  0.000000   0.870000   -0.610401   
      88  0.000000   0.880000   -0.562205   
      89  0.000000   0.890000   -0.517712   
      90  0.000000   0.900000   -0.476619   
