################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 2 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
     159  0.010000   0.580000   -1.151563   
     160  0.010000   0.590000   -1.053074   
     161  0.010000   0.600000   -0.950247   
     162  0.010000   0.610000   -0.844589   
     163  0.010000   0.620000   -0.737542   
     164  0.010000   0.630000   -0.630451   
     165  0.010000   0.640000   -0.524541   
     166  0.010000   0.650000   -0.420893   
     167  0.010000   0.660000   -0.320435   
     168  0.010000   0.670000   -0.223935   
     169  0.010000   0.680000   -0.132006   
     170  0.010000   0.690000   -0.045109   
     171  0.010000   0.700000   0.036435   
     172  0.010000   0.710000   0.112428   
     173  0.010000   0.720000   0.182783   
     174  0.010000   0.730000   0.247505   
     175  0.010000   0.740000   0.306674   
     176  0.010000   0.750000   0.360428   
     177  0.010000   0.760000   0.408951   
     178  0.010000   0.770000   0.452458   
     179  0.010000   0.780000   0.491184   
     180  0.010000   0.790000   0.525374   
     181  0.010000   0.800000   0.555278   
     182  0.010000   0.810000   0.581144   
     183  0.010000   0.820000   0.603213   
     184  0.010000   0.830000   0.621719   
     185  0.010000   0.840000   0.636883   
     186  0.010000   0.850000   0.648916   
     187  0.010000   0.860000   0.658018   
     188  0.010000   0.870000   0.664376   
     189  0.010000   0.880000   0.668168   
     190  0.010000   0.890000   0.669560   
     191  0.010000   0.900000   0.668710   
     192  0.010000   0.910000   0.665768   
     193  0.010000   0.920000   0.660879   
     194  0.010000   0.930000   0.654178   
     195  0.010000   0.940000   0.645799   
     196  0.010000   0.950000   0.635872   
     197  0.010000   0.960000   0.624523   
     198  0.010000   0.970000   0.611879   
     199  0.010000   0.980000   0.598063   
     200  0.010000   0.990000   0.583198   
     201  0.010000   1.000000   0.567409   
     202  0.020000   0.000000   -0.217735   
     203  0.020000   0.010000   -0.215928   
     204  0.020000   0.020000   -0.212199   
     205  0.020000   0.030000   -0.206499   
     206  0.020000   0.040000   -0.198845   
     207  0.020000   0.050000   -0.189326   
     208  0.020000   0.060000   -0.178098   
     209  0.020000   0.070000   -0.165383   
     210  0.020000   0.080000   -0.151463   
     211  0.020000   0.090000   -0.136674   
     212  0.020000   0.100000   -0.121395   
     213  0.020000   0.110000   -0.106040   
     214  0.020000   0.120000   -0.091049   
     215  0.020000   0.130000   -0.076876   
     216  0.020000   0.140000   -0.063985   
     217  0.020000   0.150000   -0.052839   
     218  0.020000   0.160000   -0.043894   
     219  0.020000   0.170000   -0.037597   
     220  0.020000   0.180000   -0.034380   
     221  0.020000   0.190000   -0.034658   
     222  0.020000   0.200000   -0.038830   
     223  0.020000   0.210000   -0.047275   
     224  0.020000   0.220000   -0.060351   
     225  0.020000   0.230000   -0.078393   
     226  0.020000   0.240000   -0.101712   
     227  0.020000   0.250000   -0.130585   
     228  0.020000   0.260000   -0.165255   
     229  0.020000   0.270000   -0.205912   
     230  0.020000   0.280000   -0.252691   
     231  0.020000   0.290000   -0.305653   
     232  0.020000   0.300000   -0.364769   
     233  0.020000   0.310000   -0.429906   
     234  0.020000   0.320000   -0.500812   
     235  0.020000   0.330000   -0.577097   
     236  0.020000   0.340000   -0.658222   
     237  0.020000   0.350000   -0.743489   
     238  0.020000   0.360000   -0.832037   
     239  0.020000   0.370000   -0.922842   
     240  0.020000   0.380000   -1.014724   
     241  0.020000   0.390000   -1.106363   
     242  0.020000   0.400000   -1.196321   
     243  0.020000   0.410000   -1.283074   
     244  0.020000   0.420000   -1.365043   
     245  0.020000   0.430000   -1.440644   
     246  0.020000   0.440000   -1.508329   
     247  0.020000   0.450000   -1.566633   
     248  0.020000   0.460000   -1.614227   
     249  0.020000   0.470000   -1.649960   
